Title,Rating,No of reviews,location,Part of,What you will do,Host,Since,reviews,verification,comment,url
Making Hummus Dip with a Lebanese Chef,5.0,Rated 5.0 out of 5 from 21 reviews.,"Toronto, Canada",Airbnb Online Experiences,"Have you ever wondered what makes Hummus so velvety? Have you tried making Humus but you’re always disappointed with how it tastes? Join my experience and I’ll walk you through the steps on how to make the most amazing Humus from the comfort of your own home!  I’ll start by showing you some secrets and fool proof methods that have been passed down in my family from generation to generation. You will then learn in detail how to take either dried or canned chickpeas, and transform them into the most delicious humus ever, using fresh and simple ingredients! We’ll finish off by learning how to make beautiful presentations of your humus that will be sure to impress your friends and family. Let’s cook, laugh, share stories and celebrate this amazing dish together! Have you ever wondered what makes Hummus so velvety? Have you tried making Humus but you’re always disappointed with how it tastes? Join my experience and I’ll walk you through the steps on how to make the most amazing Humus from the comfort of your own home!  I’ll start by showing you some secrets and fool proof methods that have been passed down in my family from generation to generation. You will then learn in… ",Online experience hosted by Nada,Host on Airbnb since 2015,21 Reviews,Identity verified,"My name is Nada, and I’ve been a professional Lebanese chef for the past 20 years, and if there’s one thing I know, it’s Lebanese food. This has been my passion ever since I was a little girl and I would love to share that passion with you. For the past 20 years, I’ve had the pleasure of sharing my talents and cooking delicious Lebanese food for friends, family, dinner parties and large-scale events across Canada. I pride myself on providing people an authentic Lebanese experience from start to finish! I’ve taught hundreds of classes, published many sought-after recipes, and have done a lot of Lebanese food consulting. I would now like to share my experience with you! My name is Nada, and I’ve been a professional Lebanese chef for the past 20 years, and if there’s one thing I know, it’s Lebanese food. This has been my passion ever since I was a little girl and I would love to share that passion with you. For the past 20 years, I’ve had the pleasure of sharing my talents and cooking delicious Lebanese food for friends, family, dinner parties and large-scale events across Canada. I pride myself on providing people an authentic Lebanese exp… ",https://www.airbnb.co.in/experiences/1716598?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
An Evening with a Flamenco Composer,4.91,Rated 4.91 out of 5 from 219 reviews.,"Madrid, Spain",Airbnb Online Experiences,"We will enjoy an intimate Flamenco Guitar Concert in Madrid, we will dive into the history of Flamenco through the sounds and melodies of the guitar. You will be able to differentiate all the codes the flamenco musicians use in their concerts and understand how they communicate with each other during their improvisation. You will see how we compose our music based on the ancestral culture of the Iberian Peninsula. The songs are composed by myself and based on the true flamenco traditions, the point of this experience is to get connection with the music by what the moorish called “duende”, which brings clarity and knowelegqment through the rhythms and melodies. I have been doing flamenco experiences with Airbnb from more than three years, you can see my videos on @santiago_abello and you can read the reviews at my Airbnb profile! During the concert we will have the opportunity to analyze some interesting photos about flamenco and its most relevant musicians, and how the most relevant artist of flamenco have change the history of this art and why. Join me to understand the secrets of this great music that has been growing along with the history of the Iberian Peninsula. This Experience is great for team-building. Book a private experience for your group. Is your group larger than my listed max group size for private groups? Send me a message. We will enjoy an intimate Flamenco Guitar Concert in Madrid, we will dive into the history of Flamenco through the sounds and melodies of the guitar. You will be able to differentiate all the codes the flamenco musicians use in their concerts and understand how they communicate with each other during their improvisation. You will see how we compose our music based on the ancestral culture of the Iberian Peninsula. The songs… ",Online experience hosted by Santiago,Host on Airbnb since 2016,219 Reviews,Identity verified,"My name is Santiago, originally from Madrid and I have been playing the Spanish guitar since a was a little child. From an early age, I got deeply interested in music through the flamenco voice melodies, and the genius of Paco de Lucía - of course! For 30 years now, I am a flamenco guitarist and composer at the Dance School ""Amor de Dios"", the most renowned flamenco academy in the world. Throughout my career I have learned side by side from some of the greatest musicians of this art, who use to play with Camarón de la Isla and  Paco de Lucia. And it is them who the musician that I am today. You can see some videos of my experiences with Airbnb at @santiago_abello My name is Santiago, originally from Madrid and I have been playing the Spanish guitar since a was a little child. From an early age, I got deeply interested in music through the flamenco voice melodies, and the genius of Paco de Lucía - of course! For 30 years now, I am a flamenco guitarist and composer at the Dance School ""Amor de Dios"", the most renowned flamenco academy in the world. Throughout my career I have learned side by side from some of the greatest musicians of this art,… ",https://www.airbnb.co.in/experiences/1662181?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
A Big Love to Vietnamese Cuisine,4.94,Rated 4.94 out of 5 from 16 reviews.,"Ho Chi Minh City, Vietnam",Airbnb Online Experiences,"During this online class, I will teach how to make traditional Vietnamese Cha Gio “crispy fried spring rolls“ or Banh Xeo “Vietnamese pancake”. Both are the best food you must try when you visit us. For fried spring rolls: the fillings contain traditional Vietnamese ingredients (like taro, carrot, glass noodle and wood ear mushroom). Banh Xeo is so crispy and yummy with shrimps, pork, bean sprout . They do not contain MSG or preservatives.  It is about the secret of selection, preparation and presentation of your perfectly authentic Vietnamese cuisine. From Tuesday AGUST 11th Vietnam time, my menu will be splitted up as below: - Friday, Saturday, Sunday, Monday Vietnam time: Banh Xeo “ Vietnamese Pancake - Tuesday, Wednesday, Thursday: Cha Gio “Fried Spring Rolls”  The ingredients for spring rolls you can find here. For the pancake, kindly check your message on Airbnb I will send straight away after your booking.  Get your laptop, tablet or phone, and let's cook together.  Together we will do the steps of the recipe and I will give tips and suggestions,  while we can have a good conversation about Vietnam, about the food and the tradition. Ask me any question, to assure you will make you way to come visit me in person once it is safe for traveling. I will also send you the written recipes, so you can practice the dishes another times.  Please note that the pricing is per person During this online class, I will teach how to make traditional Vietnamese Cha Gio “crispy fried spring rolls“ or Banh Xeo “Vietnamese pancake”. Both are the best food you must try when you visit us. For fried spring rolls: the fillings contain traditional Vietnamese ingredients (like taro, carrot, glass noodle and wood ear mushroom). Banh Xeo is so crispy and yummy with shrimps, pork, bean sprout . They do not contain MSG or preservatives.  … ",Online experience hosted by My,Host on Airbnb since 2016,16 Reviews,Identity verified,"Hello, I am My a cooking teacher.  Over the past 5 years, I’ve welcomed many guests from over the world to my kitchen in Ho Ch.i Minh, Vietnam and have been honored to have hundreds of 5-stars reviews on Airbnb for my in- personal Cooking Experiences.  Cooking is my passion as well as my happiness every day so this pandemic could not stop me to show you how to make a delicious Vietnam food.  Life is not about waiting for the storm to pass, it is about learning how to dance in the rain.",https://www.airbnb.co.in/experiences/1709042?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Family Art Adventure with a Penguin Pro,4.95,Rated 4.95 out of 5 from 186 reviews.,"Cape Town, South Africa",Airbnb Online Experiences,"Waddle with me into the fascinating world of one our most enigmatic—and endangered— marine bird species. This experience normally takes place on a beautiful beach but due to a national lock-down effort to contain the coronavirus, it is now brought to you live from my living room! You will however get to build your very own craft penguin or we will channel our inner penguin-Picasso and draw a swimming penguin!  Over the course of a one-and-a-bit hour chat /crafts workshop you’ll discover little-known facts and amazing insights into the unique lifestyle of the African penguin via photos, graphics and video that takes us from the dawn of penguins to the modern day.  You’ll learn how to tell a ""she"" from a ""he"" and how to determine their age. We’ll even plot their evolution as one of the first true prehistoric ""land-swimmers."" Virtually, we’ll meet a supporting cast of coastal creatures—extras in the ongoing saga of these undeniably cute but highly threatened birds.   I want to provide a fun and educational experience that the entire family can enjoy.! This can be added to your class schedule as a biology, conservation, and art class, or it can just be something fun to do as a family on the weekend. Most importantly, by participating in this experience, you’ll be directly contributing to the conservation of African penguins via our NGO work. Waddle with me into the fascinating world of one our most enigmatic—and endangered— marine bird species. This experience normally takes place on a beautiful beach but due to a national lock-down effort to contain the coronavirus, it is now brought to you live from my living room! You will however get to build your very own craft penguin or we will channel our inner penguin-Picasso and draw a swimming penguin!  Over the course of a one-… ",Online experience hosted by Jon,Host on Airbnb since 2015,186 Reviews,Identity verified,"Penguins and I go way back. A lifetime penguin conservationist, my career was inspired at the age of 9 when I encountered one of the first pairs of African penguins to ever nest on Boulders Beach. I wrote a story about them that got published, thus beginning my journey with penguins (and publishing!) that has Iasted for 37 years and counting. I’m a widely published journalist, author, honorary ranger, shark-loving surfer and host of the popular airbnb offline experience ""Penguin Walk with A Conservationist"". The unfinished story of the endangered African penguin is currently being written and I invite you to be a part of it… Penguins and I go way back. A lifetime penguin conservationist, my career was inspired at the age of 9 when I encountered one of the first pairs of African penguins to ever nest on Boulders Beach. I wrote a story about them that got published, thus beginning my journey with penguins (and publishing!) that has Iasted for 37 years and counting. I’m a widely published journalist, author, honorary ranger, shark-loving surfer and host of the popular airbnb offline experience ""Penguin Walk with A Cons… ",https://www.airbnb.co.in/experiences/1659111?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Street Dance with Smiles from Step Up,5.0,Rated 5.0 out of 5 from 4 reviews.,"Bangkok, Thailand",Airbnb Online Experiences,"We will start with a easy warm up. To get your blood flowing, I’ll teach you an original street/ hip hop combination. Followed by a warm down.  This class is for all levels, I’ll move at the pace of the class so don’t worry. You’re definitely in good hands.",Online experience hosted by LaJon,Host on Airbnb since 2015,4 Reviews,Identity verified,"Hello Friends,  I’ve been teaching dance for over 10+ years. I’ve has the pleasure to dance and choreograph professionally for major artist and a few movies. You can catch me in Step Up 2 as the character Smiles :)",https://www.airbnb.co.in/experiences/1682384?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Fun Way to Know Beijing with Mini Group,4.87,Rated 4.87 out of 5 from 53 reviews.,"北京市, China",Airbnb Online Experiences,"Welcome to Xiao' online Beijing Tour ! I enjoy having a close connection with people from all over the world and share my hometown Beijing with you! In this experience, you will: - Get to know the smart idea of the design of the old town; -  Have chance to see an insightful contrast between past and present of the city; -  Discover the famous places of interests from a local's view and fun stories behind; - Get useful tips for your future traveling plan; - and more about the local flavor! In this online tour, we are going to have lots of interactions and please feel free to ask any your curiousness about Beijing just like talking with a friend ; )  This is an ideal way to know Beijing before you plan to come, and if you've already traveled in the city, this is a fun way to recall good memories about your trip!  P.S.: Come with friends or family will get special discount: 2-3 persons get 10% each:)  * Attention: It's NEITHER a Video showing experience NOR a history class for only watching, we will have interaction with all the guests; ** I will use PPT to share maps and photos from the computer; *** When you make a reservation, the time has already switched to your time zone automatically by Airbnb, please be on time. Welcome to Xiao' online Beijing Tour ! I enjoy having a close connection with people from all over the world and share my hometown Beijing with you! In this experience, you will: - Get to know the smart idea of the design of the old town; -  Have chance to see an insightful contrast between past and present of the city; -  Discover the famous places of interests from a local's view and fun stories behind; - Get usefu… ",Online experience hosted by Xiao,Host on Airbnb since 2017,53 Reviews,Identity verified,"Hi, I'm Xiao :) Finally you found me on Airbnb! I have been an Experience Host since 2018, and hosted more than 600 guests in my top-rated experience ""Modern Food Tour in Sanlitun with Foodie"" in Beijing. Not only I am a true local of Beijing, I also studied management of tourism in my university, then I went to Spain for my master degree. In that magically delicious country I found my passion on cooking, after several years of practicing, I became a dessert chef in a Michelin-starred restaurant in Madrid. I would be very glad to show you my hometown in this virtual tour :) Hi, I'm Xiao :) Finally you found me on Airbnb! I have been an Experience Host since 2018, and hosted more than 600 guests in my top-rated experience ""Modern Food Tour in Sanlitun with Foodie"" in Beijing. Not only I am a true local of Beijing, I also studied management of tourism in my university, then I went to Spain for my master degree. In that magically delicious country I found my passion on cooking, after several years of practicing, I became a dessert chef in a Michelin-st… ",https://www.airbnb.co.in/experiences/1723646?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Identify Leopards With A Safari Guide,4.96,Rated 4.96 out of 5 from 102 reviews.,"Colombo, Sri Lanka",Airbnb Online Experiences,"Identifying individual leopards is a rather tricky yet exciting technique. We will meet online to talk about mastering the art of identifying individual leopards and to talk about electrifying leopard stories. Over the discussion of one and quarter hour, you will learn the most accepted means of leopard identification and some thrilling stories around some of the names. While we learn how to ID leopards together, we will be able to reveal the secretive lives of these elusive big cats via photographs and videos.  We are going to have a brief discussion about leopard distribution and behavior prior to getting to grips with identification techniques. And we are going to have a chat about why identifying individual leopards is so important for conservation. You will also hear some funny stories regarding the leopard behavior. Throughout the whole time you can get answers to all of your burning questions (Why leopards mate more than 25 times a day?! Etc.) This is going to be an educational and informative experience for everyone. Identifying individual leopards is a rather tricky yet exciting technique. We will meet online to talk about mastering the art of identifying individual leopards and to talk about electrifying leopard stories. Over the discussion of one and quarter hour, you will learn the most accepted means of leopard identification and some thrilling stories around some of the names. While we learn how to ID leopards together, we will be able to reve… ",Online experience hosted by Dhanula,Host on Airbnb since 2020,102 Reviews,Identity verified,"After completing my degree in Zoology, I found my passion in safari guiding which allows me to track leopards on a daily basis for travellers across the world.So I am a safari guide in Sri Lanka working for a company called Leopard Trails - Sri Lanka's leading luxury tented camps at Yala and Wilpattu national park, two of the best places in the world to observe leopards in the wild.Naturally I am passionate about leopards' behavior and conservation.I am particularly keen on identifying individual leopards because it helps paint a clearer picture of the secret lives of these elusive cats.This knowledge is vital for the future conservation of these big cats.It also makes for great storytelling around the campfire.I look forward to sharing a variety of experiences, stories and photos to share with you and answering most of your questions. After completing my degree in Zoology, I found my passion in safari guiding which allows me to track leopards on a daily basis for travellers across the world.So I am a safari guide in Sri Lanka working for a company called Leopard Trails - Sri Lanka's leading luxury tented camps at Yala and Wilpattu national park, two of the best places in the world to observe leopards in the wild.Naturally I am passionate about leopards' behavior and conservation.I am particularly keen on identifying individua… ",https://www.airbnb.co.in/experiences/1707300?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Moroccan Henna Art Discovery,5.0,Rated 5.0 out of 5 from 4 reviews.,"Marrakesh, Morocco",Airbnb Online Experiences,"The art of Henna is a very famous and special traditional art in Morocco. Thanks to the magic of the internet, we can connect to share the joy and creativity of this wonderful art form. We will start our online Henna experience by learning the historical & cultural significance of Henna art in Morocco. Then, I will show you secrets of the traditional preparation process using 100% natural Henna mud. You'll practice the traditional techniques and draw your own Henna design. I will, of course, assist you in every step of the process - teaching you the best techniques to create your own piece of art. You'll learn how to draw the three most famous Moroccan Henna designs and gain insight into the significance of each design. Finally, I will demonstrate how to draw these designs with Henna on the skin. After our time together, you'll be ready to try your first real Moroccan Henna tattoo on your skin! Join me for an unforgettable Henna art experience! The art of Henna is a very famous and special traditional art in Morocco. Thanks to the magic of the internet, we can connect to share the joy and creativity of this wonderful art form. We will start our online Henna experience by learning the historical & cultural significance of Henna art in Morocco. Then, I will show you secrets of the traditional preparation process using 100% natural Henna mud. You'll practice the traditional tech… ",Online experience hosted by Siham,Host on Airbnb since 2018,4 Reviews,Identity verified,"Marhba! I am Siham, a  traditional Henna artist. Welcome to Marrakesh, my home, my heart, the art of Morocco. I was born in a village near Marrakesh, and at an early age I  started learning the art of Henna, practicing on my sisters (we were five sisters, no boys). I never got tired of endlessly decorating their skin in swirls and shapes. I always loved doing it.    I am a single mother of one gorgeous daughter Malak. Over the years, Malak and I have received more than 1,000 people in our home from all over the world and have gotten hundreds of 5-star reviews, this earning the status of Airbnb Superhost.  Now I am happy to share this big love – connecting with people and introducing them to my local culture. We can't wait to share our passion with you! Marhba! I am Siham, a  traditional Henna artist. Welcome to Marrakesh, my home, my heart, the art of Morocco. I was born in a village near Marrakesh, and at an early age I  started learning the art of Henna, practicing on my sisters (we were five sisters, no boys). I never got tired of endlessly decorating their skin in swirls and shapes. I always loved doing it.    I am a single mother of one gorgeous daughter Malak. Over the years, Malak and I have received more than 1,000 people in… ",https://www.airbnb.co.in/experiences/1708936?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Making Homemade Medicinal Sodas,5.0,Rated 5.0 out of 5 from 16 reviews.,"Puerto Viejo de Talamanca, Costa Rica",Airbnb Online Experiences,"In this experience, you'll learn everything you need to start making immune-boosting, bubbly sodas. Start a couple of fermentation jars in your home, add some magic ingredients to make it healthy and balance the flavors, and you'll be an artisan soda maker in no time!  I'll be teaching a traditional Mexican recipe for a wild-fermented pineapple soda called tepache. With only a few ingredients, you can have your own delicious, fizzy, probiotic soda within a week! I'll give some tips on how to incorporate any spices and herbs you might have growing in your garden, on your balcony, or hiding in your pantry.  What happens when soda making goes awry and ferments a little too long? Vinegar! Learn about how to use amazing, fruit-based vinegar, which has an abundance of medicinal and culinary value. In this experience, you'll learn everything you need to start making immune-boosting, bubbly sodas. Start a couple of fermentation jars in your home, add some magic ingredients to make it healthy and balance the flavors, and you'll be an artisan soda maker in no time!  I'll be teaching a traditional Mexican recipe for a wild-fermented pineapple soda called tepache. With only a few ingredients, you can have your own delicious, fizzy, pr… ",Online experience hosted by Sam,Host on Airbnb since 2017,16 Reviews,Identity verified,"I am a farmer and a farm-to-table food specialist with a passion for taking simple ingredients and transforming them into yummy treats that are good for the body and soul! I have spent the last years growing food, foraging, teaching workshops, and playing with food in the tropics here in Costa Rica. I love to experiment with fermentation, make wild-fermented sodas and homebrews, and incorporate medicinal plants into my products.",https://www.airbnb.co.in/experiences/1718970?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
The Zen Art of Rock Balancing,4.88,Rated 4.88 out of 5 from 8 reviews.,"San Francisco, United States",Airbnb Online Experiences,"This online experience begins with why I became a Rock Balance Meditation Artist and how you can use this practice to breathe into the moment, see opportunity, believe in your personal power, lift limits, and so much more. First I will guide you through a 10 minute meditation where we let the noise of the day melt away. Together we will give the world gratitude and compassion, before discovering your unique mantra of peace. Next I will teach basic and advanced rock balance techniques as we spend time exploring the edge of what is truly possible. Before we say goodbye, we will reflect on the experience with questions or insights we unlock along the way. This online experience is great for team-building. Book a private experience for your group! If your group is larger than my listed max group size for private groups, send me a message. This online experience begins with why I became a Rock Balance Meditation Artist and how you can use this practice to breathe into the moment, see opportunity, believe in your personal power, lift limits, and so much more. First I will guide you through a 10 minute meditation where we let the noise of the day melt away. Together we will give the world gratitude and compassion, before discovering your unique mantra of peace. Next I will… ",Online experience hosted by Travis,Host on Airbnb since 2015,8 Reviews,Identity verified,"Hi there! My name is Travis and I've been a professional Rock Balance Meditation Artist for nearly 10 years. I live in San Francisco, California, USA. Rock Balancing has transformed my life and I'm passionate about sharing this healing practice with others. I'm also the internationally published author of ""The Rock Balancer’s Guide” which is a summary of what I have discovered teaching thousands of people how to rock balance. Connect with me on Instagram/Facebook: @TravisRuskus",https://www.airbnb.co.in/experiences/1683676?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Have Fun Making & Eating Soup Dumplings,5.0,Rated 5.0 out of 5 from 68 reviews.,"Shanghai, China",Airbnb Online Experiences,"Join us in a class to learn how to make famous Shanghainese xiǎolóngbāo soup dumplings from start to finish. You’ll learn how to knead a dough, how to roll wrappers and how to pinch a dumpling by your hands! Of cause I’ll even reveal how the soup gets wrapped up inside the dumpling! You will also learn how to make a yummy dipping sauce that complements the dumplings.  Finally, we will enjoy our handmade xiǎolóngbāo together. You will also get to take home an easy-to-follow recipe so you can recreate the cooking experience in your own kitchen. This experience will live broadcast on zoom, you will get all the information and details after your booking. Join us in a class to learn how to make famous Shanghainese xiǎolóngbāo soup dumplings from start to finish. You’ll learn how to knead a dough, how to roll wrappers and how to pinch a dumpling by your hands! Of cause I’ll even reveal how the soup gets wrapped up inside the dumpling! You will also learn how to make a yummy dipping sauce that complements the dumplings.  Finally, we will enjoy our handmade xiǎolóngbāo together.… ",Online experience hosted by Cici,Host on Airbnb since 2015,68 Reviews,Identity verified,"Hi, I'm Cici! I’ve been teaching Chinese cooking classes to both expats and foreign visitors alike for almost a decade. Throughout these years I have enjoyed sharing my culture with foreigners as well as hearing about their cultures—especially what they like to eat.  I being teaching this soup dumpling experience for over 4 years via Airbnb, in this 4 years I hosted thousands tourists all over the world. Now I’m so happy to share this special technique via live broadcast and teach more people to know how to make authentic Shanghai soup dumplings without leaving home! Hi, I'm Cici! I’ve been teaching Chinese cooking classes to both expats and foreign visitors alike for almost a decade. Throughout these years I have enjoyed sharing my culture with foreigners as well as hearing about their cultures—especially what they like to eat.  I being teaching this soup dumpling experience for over 4 years via Airbnb, in this 4 years I hosted thousands tourists all over the world. Now I’m so happy to share this special technique via live broadcast and teach more peop… ",https://www.airbnb.co.in/experiences/1715106?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Prosthetic adaptations with David Hill,5.0,Rated 5.0 out of 5 from 18 reviews.,Olympian and Paralympian collection,Download Zoom,"I don’t have a left forearm, so I’m always finding new ways to do things. I often need to use different prosthetic limbs to complete different tasks, and sometimes I need to make the things that I can’t buy off the shelf.  I spent 2 years at college and became a qualified 'Carpenter and Joiner', so I have experience and learnings that I’d love to share.  In this experience, I hope to bring you in on this process, show you how I do things, and hopefully inspire you to be a bit more creative in the ways you overcome different challenges in your life. Also, please share if you have any ideas for how I can do things better!  Feel free to ask me any questions about what it’s like to live without a left arm.  Don’t worry, you won't offend me; so ask away!  Be sure to come prepared with lost of questions and ideas! I look forward to seeing you soon! General Schedule (open to change to meet needs of each group)  5mins - Introduction 10mins - Ice Breaker 10mins - My story 10mins - Show and tell 5mins - Demonstration on my work bench 5mins -  Show and tell 10mins - Creative thinking 5mins - Q&A I don’t have a left forearm, so I’m always finding new ways to do things. I often need to use different prosthetic limbs to complete different tasks, and sometimes I need to make the things that I can’t buy off the shelf.  I spent 2 years at college and became a qualified 'Carpenter and Joiner', so I have experience and learnings that I’d love to share.  In this experience, I hope to bring you in on this process, show you ho… ",Paralympic experience hosted by David,Paralympian · Representing Great Britain · Host on Airbnb since 2015,18 Reviews,Identity verified,"I was born with no left forearm but was brought up to believe there was no such word as ‘can't.’ Through lots of hard work and passion for sport, I went on to represent Great Britain at the highest level for 15 years. I’m a 2 time Paralympian in swimming and triathlon, a World and European medalist, British Champion and was Team GB's youngest athlete at the Athens 2004 Paralympics, as well as a top ten finisher in the Rio de Janeiro 2016 Paralympic Games. In addition I’m an LGBT Ambassador. My parents used to watch me when I was a little boy learn to do simple tasks and let me discover a way to do things for myself. They would only ever intervene if I was really struggling, but they never did anything for me and taught me to be resilient, determined, and very independent. I'm so thankful to them for shaping me into the person I am today I was born with no left forearm but was brought up to believe there was no such word as ‘can't.’ Through lots of hard work and passion for sport, I went on to represent Great Britain at the highest level for 15 years. I’m a 2 time Paralympian in swimming and triathlon, a World and European medalist, British Champion and was Team GB's youngest athlete at the Athens 2004 Paralympics, as well as a top ten finisher in the Rio de Janeiro 2016 Paralympic Games. In addition I’m an LGBT Ambas… ",https://www.airbnb.co.in/experiences/1735170?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Finding Confidence with Hugh Hutchison,5.0,Rated 5.0 out of 5 from 3 reviews.,Olympian and Paralympian collection,Download Zoom,"This is a motivational, interactive coaching session focusing on key qualities and attributes for self-confidence and success in today’s ever-changing and challenging world. The session is focused on you. I will use my personal experience and knowledge and translate it to your personal situation and we will create a plan to help take you where you want to go. We will discuss: Passion and belief Self-motivation and focus Commitment and determination Planning and setting targets Flexibility Dealing with change and failure Individual approach and the support team I will share some of my Olympic skiing experiences, insights from my career as an officer in the British Army, and what I learned as a commercial executive for global corporations and international sports and event companies. This is a motivational, interactive coaching session focusing on key qualities and attributes for self-confidence and success in today’s ever-changing and challenging world. The session is focused on you. I will use my personal experience and knowledge and translate it to your personal situation and we will create a plan to help take you where you want to go. We will discuss: Passion and belief Self-motivation and focus … ",Olympic experience hosted by Hugh,Olympian · Representing Great Britain · Host on Airbnb since 2020,3 Reviews,Identity verified,"I'm an Olympic freestyle skier. I've competed in the World Cup Mogul Tour for five years, as well as the Albertville and Lillehammer Winter Olympic Games. I won the British Senior Mogul title four times, as well as European and Commonwealth titles. I'm also a former officer in the Royal Engineers and a business executive for private and public companies around the world. Since retiring from competitive skiing, I have commentated and been a pundit for Olympic Broadcast Services, the BBC, Eurosport and Sky. I have worked in this capacity on several Winter Olympic Games including the 2018 games in Korea. Copyright Getty Images I'm an Olympic freestyle skier. I've competed in the World Cup Mogul Tour for five years, as well as the Albertville and Lillehammer Winter Olympic Games. I won the British Senior Mogul title four times, as well as European and Commonwealth titles. I'm also a former officer in the Royal Engineers and a business executive for private and public companies around the world. Since retiring from competitive skiing, I have commentated and been a pundit for Olympic Broadcast Servi… ",https://www.airbnb.co.in/experiences/1758862?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Secrets of Bossa Nova,4.96,Rated 4.96 out of 5 from 25 reviews.,"Rio de Janeiro, Brazil",Airbnb Online Experiences,"I will tell you the history of Bossa Nova. Telling you about Brazilian special music and Rio de janeiro social behavior. I will play nylon string guitar, showing you the Bossa Nova rhythms and history. I've been doing this experience in my studio in Ipanema for the last 3 years with lovely comments and feedbacks.",Online experience hosted by Cecelo,Host on Airbnb since 2017,25 Reviews,Identity verified,"I’m a professional guitar player, who has worked with some of the most important artists of my generation, including Fagner, Baby Consuelo, Carlos Lyra, Marcos Valle, and many others. I love the flair of the Ipanema lifestyle, from the beat of the streets to the birds and waves that made bossa nova famous and adored worldwide. I,ve been doing my experience a live for three years with more than 250 five stars reviews. I love music and love to talk about Brazil and his music.",https://www.airbnb.co.in/experiences/1701439?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Learn Magic with a Professional,5.0,Rated 5.0 out of 5 from 13 reviews.,"Lyon, France",Airbnb Online Experiences,"Want to learn a new cool thing that you can show to all your loved ones ? One goaI : to learn and execute 5 professionnal tricks in one hour and a half of online lessons ! In a small group and in a friendly atmosphere, I will share with you some of my secrets and my experience in this art. These tricks are chosen to be simple, powerful and achievable in any circumstances with borrowed objects. Truth be told, most of you are likely to be able to do them at the end of the course. But I'm not just going to teach you a few tricks, I'm also going to teach you all the intricacies and psychology behind each of these effects, so that you understand how to go from a simple trick to a powerful magic effect. This course will be given in small groups, I prefer indeed to be able to take time for each of you so that you can fully enjoy the experience. This course is therefore perfect if you like: - to meet new people - surprise your friends - discover a new activity - surprise your spouse - discover secrets and solve puzzles Want to learn a new cool thing that you can show to all your loved ones ? One goaI : to learn and execute 5 professionnal tricks in one hour and a half of online lessons ! In a small group and in a friendly atmosphere, I will share with you some of my secrets and my experience in this art. These tricks are chosen to be simple, powerful and achievable in any circumstances with borrowed objects. Truth be told, most o… ",Online experience hosted by Maxime,Host on Airbnb since 2016,13 Reviews,Identity verified,"Magician for 7 years and professional for 4 years, I had the opportunity to officiate for many audiences and events in France and abroad. I recently animated the scene of a TEDx conference by illustrating with effects the history and evolution of this art. But my real passion is to practice magic in the street and in the evening, without professional pressure, only for the pleasure of the spectators It is above all a means of communicating, meeting new people and making all these fleeting meetings dream.",https://www.airbnb.co.in/experiences/1708825?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
